participant,orderIndex,condition,event,unityTime,systemTime,note
1,0,,order,0.000,2026-09-23T20:42:28.214,EllipseVisuoHaptic>EllipseHapticOnly>EllipseHighIntensity>EllipseVisualOnly>EllipseDelayed>Blink
1,0,,masking_noise,0.000,2026-09-23T20:42:28.263,center=250.0Hz bandwidth=100.0Hz volume=1.00
1,0,,familiarization_start,4.343,2026-09-23T20:42:34.136,palmY=0.2718 target=(0.3578 0.2418 0.2248) intensity=190
1,0,,familiarization_end,19.347,2026-09-23T20:42:49.129,
1,1,EllipseVisuoHaptic,prepare,21.033,2026-09-23T20:42:50.807,
1,1,EllipseVisuoHaptic,capture_rejected,22.948,2026-09-23T20:42:52.726,palmY=0.1064 first=0.2718
1,1,EllipseVisuoHaptic,start,25.519,2026-09-23T20:42:55.298,palmY=0.2750
1,1,EllipseVisuoHaptic,end,55.530,2026-09-23T20:43:25.324,
1,2,EllipseHapticOnly,prepare,57.093,2026-09-23T20:43:26.867,
1,2,EllipseHapticOnly,start,57.920,2026-09-23T20:43:27.696,palmY=0.2707
1,2,EllipseHapticOnly,skipped,66.194,2026-09-23T20:43:35.976,
1,2,EllipseHapticOnly,end,66.194,2026-09-23T20:43:35.985,
1,3,EllipseHighIntensity,prepare,67.799,2026-09-23T20:43:37.573,
1,3,EllipseHighIntensity,start,69.357,2026-09-23T20:43:39.133,palmY=0.2703
1,3,EllipseHighIntensity,end,99.368,2026-09-23T20:44:09.159,
1,4,EllipseVisualOnly,prepare,100.036,2026-09-23T20:44:09.809,
1,4,EllipseVisualOnly,start,100.797,2026-09-23T20:44:10.576,palmY=0.2694
1,4,EllipseVisualOnly,skipped,103.211,2026-09-23T20:44:12.986,
1,4,EllipseVisualOnly,end,103.211,2026-09-23T20:44:12.987,
1,5,EllipseDelayed,prepare,103.728,2026-09-23T20:44:13.501,
1,5,EllipseDelayed,start,105.061,2026-09-23T20:44:14.839,palmY=0.2697
1,5,EllipseDelayed,skipped,107.476,2026-09-23T20:44:17.260,
1,5,EllipseDelayed,end,107.476,2026-09-23T20:44:17.270,
1,6,Blink,prepare,108.113,2026-09-23T20:44:17.887,
1,6,Blink,start,109.284,2026-09-23T20:44:19.063,palmY=0.2697
